,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,antecedent_transaction_count,consequent_transaction_count
50,frozenset({'pastry'}),frozenset({'cookies'}),0.06659679109892767,0.13150044344110295,0.013303233088768846,0.19975786924939468,1.5190661264869665,0.004545725527505359,1.085295966289938,0.3660806039142397,"(826,)","(1631,)"
26,frozenset({'breakfast'}),frozenset({'cookies'}),0.03813593485447069,0.13150044344110295,0.00725630895751028,0.19027484143763213,1.4469520897308101,0.00224141661310637,1.0725856142359225,0.3211390518766881,"(473,)","(1631,)"
27,frozenset({'cookies'}),frozenset({'breakfast'}),0.13150044344110295,0.03813593485447069,0.00725630895751028,0.05518087063151441,1.4469520897308101,0.00224141661310637,1.018040421967786,0.35566179807731985,"(1631,)","(473,)"
93,frozenset({'pie'}),"frozenset({'bread', 'cookies'})",0.2130936063855519,0.027654599693622512,0.008465693783761993,0.039727582292849034,1.4365632745720307,0.0025726754018991936,1.0125724558746083,0.3861885245901639,"(2643,)","(1595, 1631)"
92,"frozenset({'bread', 'cookies'})",frozenset({'pie'}),0.027654599693622512,0.2130936063855519,0.008465693783761993,0.3061224489795918,1.4365632745720307,0.0025726754018991936,1.134070979032587,0.31253731343283575,"(1595, 1631)","(2643,)"
105,frozenset({'pie'}),"frozenset({'bread', 'savoury'})",0.2130936063855519,0.039587196645972746,0.011932596952350237,0.055996973136587205,1.4145223173382713,0.0034968184523658814,1.0173831820700177,0.3724046023482499,"(2643,)","(1595, 1800)"
104,"frozenset({'bread', 'savoury'})",frozenset({'pie'}),0.039587196645972746,0.2130936063855519,0.011932596952350237,0.3014256619144603,1.4145223173382713,0.0034968184523658814,1.1264461786142683,0.30512667217250833,"(1595, 1800)","(2643,)"
16,frozenset({'pie'}),frozenset({'bread'}),0.2130936063855519,0.12859791985809885,0.038458437474804485,0.1804767309875142,1.4034187425944444,0.011055042958562022,1.0633036462673335,0.36529668007011035,"(2643,)","(1595,)"
17,frozenset({'bread'}),frozenset({'pie'}),0.12859791985809885,0.2130936063855519,0.038458437474804485,0.29905956112852666,1.4034187425944442,0.011055042958562022,1.1226437368649775,0.3298756104260064,"(1595,)","(2643,)"
108,"frozenset({'cookies', 'cakes'})",frozenset({'savoury'}),0.026364589212287348,0.1451261791502056,0.005240667580424091,0.19877675840978595,1.369682296975875,0.0014144754831800993,1.066960837472835,0.2772122710016053,"(1631, 6073)","(1800,)"
