product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
6 Peanut Butter Hello Dolly Squares (Gluten Free),Bread & Butter Bakery and Fine Pastries,,58,1467.300,-28.600,-67.800,1370.900,0.000,1370.900
Mini Dessert Box for Mom,Bread & Butter Bakery and Fine Pastries,Dessert,66,1294.100,-3.790,0.000,1290.310,0.000,1290.310
6 Carrot Ginger Pecan Muffins,Bread & Butter Bakery and Fine Pastries,muffin,68,1277.500,0.000,-15.500,1262.000,0.000,1262.000
Buffet Dinner,,,17,1105.000,0.000,0.000,1105.000,143.650,1248.650
6 Shortbread Snowflakes,Bread & Butter Bakery and Fine Pastries,,60,1245.000,-19.500,-19.500,1206.000,0.000,1206.000
Copy of Chocolate Salted Caramel Cake,Bread & Butter Bakery and Fine Pastries,Cakes,15,1190.000,0.000,0.000,1190.000,0.000,1190.000
Valentine's Day Treat Box,Bread & Butter Bakery and Fine Pastries,valentines,62,1193.850,0.000,-18.950,1174.900,0.000,1174.900
6 Croissant Pecan Sticky Buns,Bread & Butter Bakery and Fine Pastries,Breakfast,34,1176.000,0.000,-33.000,1143.000,0.000,1143.000
Crostini,Bread & Butter Bakery and Fine Pastries,Bread,143,1189.300,-34.000,-23.850,1131.450,0.000,1131.450
Brunch Box for 2 - Baked French Toast,Bread & Butter Bakery and Fine Pastries,Savoury,21,1008.000,-9.600,0.000,998.400,129.790,1128.190
Assorted Scone Selection,Bread & Butter Bakery and Fine Pastries,Breakfast,16,988.000,0.000,0.000,988.000,128.440,1116.440
Buttered Rum Sauce - 500ml,Bread & Butter Bakery and Fine Pastries,Cookies,86,1131.000,-2.590,-13.000,1115.410,0.000,1115.410
Creamy Tomato Soup,Bread & Butter Bakery and Fine Pastries,Savoury,115,1267.500,-130.000,-24.300,1113.200,0.000,1113.200
Brownie Cobbler,Bread & Butter Bakery and Fine Pastries,Squares,186,1002.100,-35.700,0.000,966.400,125.680,1092.080
Beef Pie,Bread & Butter Bakery and Fine Pastries,Savoury,116,1084.700,0.000,0.000,1084.700,0.000,1084.700
6 Oatmeal Chocolate Chip Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,142,1130.600,-82.940,-6.950,1040.710,0.000,1040.710
6 Vegan Chocolate Chip Peanut Butter Cookies,Bread & Butter Bakery and Fine Pastries,Cookies,115,1074.200,-31.450,-7.950,1034.800,0.000,1034.800
6 Mini Egg Hello Dolly Squares,Bread & Butter Bakery and Fine Pastries,Squares,43,1036.700,-23.700,0.000,1013.000,0.000,1013.000
Deposit for Event,,,2,1000.000,0.000,0.000,1000.000,0.000,1000.000
Plain Cheesecake,Bread & Butter Bakery and Fine Pastries,Cakes,23,1031.000,0.000,-48.000,983.000,0.000,983.000
White Bread,Bread & Butter Bakery and Fine Pastries,Bread,234,1027.750,-54.200,-7.650,965.900,0.000,965.900
