product_title,variant_title,variant_sku,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
5 Course Valentine's Day Dinner for 2,1 Coq au Vin and 1 Squash au Vin,,7,875.000,-125.000,0.000,750.000,97.500,847.500
6 Blueberry Cranberry Bran Muffins,,,46,1093.500,-4.350,-259.250,829.900,0.000,829.900
Charcuterie Gift Box,,,12,720.000,0.000,0.000,720.000,93.600,813.600
6 Flourless Cupcakes,Vanilla Cupcakes with Assorted Buttercream,,30,840.000,0.000,-27.000,813.000,0.000,813.000
6 Nanaimo Bars,,,35,898.500,-53.740,-49.000,795.760,0.000,795.760
6 Date Nut Bran Muffins,,,42,830.500,-21.750,-15.500,793.250,0.000,793.250
6 Rhubarb Scones,,,34,791.000,0.000,0.000,791.000,0.000,791.000
Copy of Jam Filled Layer Cake,1/2 Slab Serves 30-40,,6,790.000,0.000,0.000,790.000,0.000,790.000
6 Macarons,Chocolate,12,44,786.300,0.000,0.000,786.300,0.000,786.300
Whole Wheat Bread,,,132,803.250,0.000,-17.850,785.400,0.000,785.400
9 Chocolate Covered Strawberries,,,40,784.000,0.000,0.000,784.000,0.000,784.000
"Vegan Apple Pie - 8""",,,37,800.100,0.000,-18.950,781.150,0.000,781.150
Granola,,,65,849.500,0.000,-69.000,780.500,0.000,780.500
Creamy Tomato Soup,1 Litre,,63,921.000,-130.000,-12.000,779.000,0.000,779.000
Easter Dinner for 2,1 Stuffed Chicken and 1 Stuffed Zucchini,,8,680.000,0.000,0.000,680.000,88.400,768.400
Buttertarts,12 Tarts / Raisin,,17,810.000,0.000,-45.000,765.000,0.000,765.000
Multigrain Sourdough,,,105,761.250,-1.450,0.000,759.800,0.000,759.800
Brunch Box for 2 - Quiche,2 Quiche Lorraine,,14,672.000,0.000,0.000,672.000,87.360,759.360
Brunch Box - Individual,Creamy Banana & Berry Oatmeal with White Chocolate Cranberry Scone,,49,770.000,0.000,-84.000,686.000,65.520,751.520
6 Vegan Cupcakes,Vegan Chocolate Cupcake with Vanilla Icing,,28,756.000,-7.680,0.000,748.320,0.000,748.320
6 Vegan Cupcakes,Vegan Vanilla Cupcake with Vanilla Icing,,29,810.000,-36.050,-27.000,746.950,0.000,746.950
6 Date Squares,,,38,741.500,0.000,0.000,741.500,0.000,741.500
6 Hermit Cookies,,,97,775.200,-34.750,0.000,740.450,0.000,740.450
Flourless Chocolate Cake,"8""",,13,770.000,0.000,-48.000,722.000,0.000,722.000
Copy of Trifle Cake,"10"" / Whipped Cream",,11,743.000,-27.400,0.000,715.600,0.000,715.600
Copy of Trifle Cake,1/4 Slab / Whipped Cream,,9,714.000,0.000,0.000,714.000,0.000,714.000
Baked Fruit Tart,Blueberry / Large,,33,752.300,-19.250,-20.950,712.100,0.000,712.100
6 Flourless Cupcakes,Chocolate Cupcakes with Assorted Buttercream,,26,706.500,0.000,0.000,706.500,0.000,706.500
Flourless Vanilla Cake,"8""",,12,736.000,0.000,-62.000,674.000,31.200,705.200
Basque Cheesecake- Choice of Flavour,"6"" - Serves 4-6 / Classic",,19,730.000,0.000,-32.000,698.000,0.000,698.000
Baked Fruit Tart,Raspberry Blackberry / Medium,,48,726.750,0.000,-30.450,696.300,0.000,696.300
4 Kaisers,,,117,702.000,-7.200,0.000,694.800,0.000,694.800
Copy of Carrot Cake,1/4 Slab Slab Serves 15-20,,9,748.000,0.000,-70.000,678.000,0.000,678.000
6 Vegan Cupcakes,Vegan Chocolate Cupcake with Chocolate Icing,,31,864.000,-171.050,-21.600,671.350,0.000,671.350
6 Macarons,Raspberry,13,37,883.550,0.000,-213.650,669.900,0.000,669.900
Strawberry Rhubarb Pie,"9""",,21,731.850,0.000,-63.900,667.950,0.000,667.950
Copy of Trifle Cake,1/2 Slab / Buttercream,,5,660.000,0.000,0.000,660.000,0.000,660.000
Rhubarb Pie,"8""",,29,657.550,0.000,0.000,657.550,0.000,657.550
Cookie Trays - Individually Wrapped,2 Dozen,,19,625.000,0.000,-33.000,592.000,64.740,656.740
"Vegan Raspberry Pie - 8""",,,30,730.500,-74.850,0.000,655.650,0.000,655.650
Leek & Potato Soup,1 Litre,,49,647.500,-15.000,0.000,632.500,0.000,632.500
2lb Mac & Cheese,,,24,625.000,-5.500,0.000,619.500,0.000,619.500
Pizza Dough,,,146,599.300,0.000,-8.500,590.800,0.000,590.800
6 Macarons of the Month,,,32,607.850,0.000,-17.700,590.150,0.000,590.150
6 Oat Chocolate Chip Scones,,,24,624.000,0.000,-45.000,579.000,0.000,579.000
Mini Carrot Loaf with Cream Cheese Icing,,,41,522.900,0.000,-10.950,511.950,66.450,578.400
Basque Cheesecake- Choice of Flavour,"8"" - Serves 8-10 / Mixed Berry",,11,687.000,0.000,-110.000,577.000,0.000,577.000
2 Choc Chunk 2 PB 2 OR Cookies in a bag,,,50,575.000,0.000,0.000,575.000,0.000,575.000
Vegetarian Pot Pie,,,62,579.800,0.000,-8.950,570.850,0.000,570.850
Brunch Box - Individual,Smoked Salmon Bagel with  Fruit Salad,,36,574.000,0.000,-70.000,504.000,65.520,569.520
Plain Cheesecake with Choice of Topping,"6"" Serves 4-6 / Cherry Topping",,15,600.000,0.000,-32.000,568.000,0.000,568.000
5 Course Valentine's Day Dinner for 2,2 Eggplant Involtini,,4,500.000,0.000,0.000,500.000,65.000,565.000
"Vegan Blueberry Pie - 8""",,,27,601.550,-0.660,-37.900,562.990,0.000,562.990
